Date AD,Date BS,Stations,Minimun Temprature,Maximum Temprature,Rainfall
2012/1/11,2068-09-27,Birendranagar,19.9,5.6,3.3
2012/1/11,2068-09-27,Nepalgunj,14.8,,0
2012/1/11,2068-09-27,Jumla,7.8,-6,4.2
2012/1/11,2068-09-27,Pokhara,19,3.7,0
2012/1/11,2068-09-27,Bhairahawa,14.8,,0
2012/1/11,2068-09-27,Simra,15.2,12.5,0
2012/1/11,2068-09-27,Kathmandu,17,2,0
2012/1/11,2068-09-27,Okhaldhunga,16,3,0
2012/1/11,2068-09-27,Taplejung,14,2.4,0
2012/1/11,2068-09-27,Dhankuta,21,5.5,0
2012/1/11,2068-09-27,Biratnagar,18.5,8,0
2012/1/11,2068-09-27,Jiri,12.5,-3.6,0.0*
2012/1/12,2068-09-28,Dadeldhura,7.2,-0.5,0
2012/1/12,2068-09-28,Dipayal,17.7,5.7,0
2012/1/12,2068-09-28,Dhangadi,16.8,10.7,0
2012/1/12,2068-09-28,Birendranagar,16.8,5,0
2012/1/12,2068-09-28,Nepalgunj,15.2,8.8,0
2012/1/12,2068-09-28,Jumla,4.7,-5,
2012/1/12,2068-09-28,Pokhara,18.3,2,0
2012/1/12,2068-09-28,Bhairahawa,18,8.7,0
2012/1/12,2068-09-28,Simra,16.5,12.2,0
2012/1/12,2068-09-28,Kathmandu,15.3,1.7,0
2012/1/12,2068-09-28,Okhaldhunga,13.8,2.5,0
2012/1/12,2068-09-28,Taplejung,13.4,0.5,0
2012/1/12,2068-09-28,Dhankuta,21,,0
2012/1/12,2068-09-28,Biratnagar,19,10.5,0
2012/1/12,2068-09-28,Jiri,11.2,-5.5,0.0*
2012/1/13,2068-09-29,Dadeldhura,12.7,0,0
2012/1/13,2068-09-29,Dipayal,21.2,3,0
2012/1/13,2068-09-29,Dhangadi,19,4,0
2012/1/13,2068-09-29,Birendranagar,20.5,1.5,0
2012/1/13,2068-09-29,Nepalgunj,19.6,7,0
2012/1/13,2068-09-29,Jumla,11.2,-10,0
2012/1/13,2068-09-29,Pokhara,17.1,0.5,0
2012/1/13,2068-09-29,Bhairahawa,19.8,7.3,0
2012/1/13,2068-09-29,Simra,19.5,5.1,0
2012/1/13,2068-09-29,Kathmandu,15.6,1.5,0
2012/1/13,2068-09-29,Okhaldhunga,14.4,1.2,0
2012/1/13,2068-09-29,Taplejung,13.1,0.5,0
2012/1/13,2068-09-29,Dhankuta,19.8,8,0
2012/1/13,2068-09-29,Biratnagar,21.2,9,0
2012/1/13,2068-09-29,Jiri,13,-5.4,3.2*
2012/1/14,2068-10-00,Dadeldhura,14.7,1.5,0
2012/1/14,2068-10-00,Dipayal,22.3,3.5,0
2012/1/14,2068-10-00,Dhangadi,18.7,5,0
2012/1/14,2068-10-00,Birendranagar,20.1,1.6,0
2012/1/14,2068-10-00,Nepalgunj,19.4,3.4,0
2012/1/14,2068-10-00,Jumla,12.3,-9.8,0
2012/1/14,2068-10-00,Pokhara,18.6,1,0
2012/1/14,2068-10-00,Bhairahawa,19.8,6.2,0
2012/1/14,2068-10-00,Simra,19.4,7.2,0
2012/1/14,2068-10-00,Kathmandu,16.8,0,0
2012/1/14,2068-10-00,Okhaldhunga,15.8,1.5,0
2012/1/14,2068-10-00,Dhankuta,20.4,4,0
2012/1/14,2068-10-00,Jiri,12.8,-6.2,0.0*
2012/1/15,2068-10-01,Dadeldhura,16,3.5,0
2012/1/15,2068-10-01,Dipayal,22.8,4.8,0
2012/1/15,2068-10-01,Dhangadi,20,5.6,0
2012/1/15,2068-10-01,Birendranagar,21,3,0
2012/1/15,2068-10-01,Nepalgunj,22,5.8,0
2012/1/15,2068-10-01,Jumla,,-7.6,
2012/1/15,2068-10-01,Pokhara,,2,
2012/1/15,2068-10-01,Bhairahawa,21,6.2,0
2012/1/15,2068-10-01,Simra,23,5,0
2012/1/15,2068-10-01,Kathmandu,17.5,0.6,0
2012/1/15,2068-10-01,Okhaldhunga,17,2.2,0
2012/1/15,2068-10-01,Dhankuta,19,4.2,0
2012/1/15,2068-10-01,Jiri,12.5,-4.5,0.0*
2012/1/16,2068-10-02,Dadeldhura,7.5,2.6,2.7
2012/1/16,2068-10-02,Dipayal,19.6,10.8,0
2012/1/16,2068-10-02,Dhangadi,17.1,11.4,0.8
2012/1/16,2068-10-02,Birendranagar,14.8,4,0
2012/1/16,2068-10-02,Nepalgunj,16.7,10.4,0.9
2012/1/16,2068-10-02,Pokhara,12.8,4,0
2012/1/16,2068-10-02,Bhairahawa,17.2,9.4,1.8
2012/1/16,2068-10-02,Simra,21.5,7.2,0
2012/1/16,2068-10-02,Kathmandu,13,2,0
2012/1/16,2068-10-02,Okhaldhunga,9.8,,0
2012/1/16,2068-10-02,Taplejung,6.5,2.8,0
2012/1/16,2068-10-02,Dhankuta,18.9,5.1,0
2012/1/16,2068-10-02,Biratnagar,14.5,6,0
2012/1/16,2068-10-02,Jiri,14,-2.5,0.0*
2012/1/17,2068-10-03,Dadeldhura,12,2.6,1.7
2012/1/17,2068-10-03,Dipayal,22.8,9.4,0
2012/1/17,2068-10-03,Dhangadi,21,7.1,0
2012/1/17,2068-10-03,Birendranagar,20.2,5.5,0
2012/1/17,2068-10-03,Nepalgunj,21.9,6.8,0.1
2012/1/17,2068-10-03,Jumla,9.7,-7.5,0.7
2012/1/17,2068-10-03,Dang,,5,0
2012/1/17,2068-10-03,Pokhara,,3.2,0
2012/1/17,2068-10-03,Bhairahawa,22.4,8.5,0
2012/1/17,2068-10-03,Simra,23.2,8,0
2012/1/17,2068-10-03,Kathmandu,18,2.7,0
2012/1/17,2068-10-03,Okhaldhunga,16.3,2.6,0
2012/1/17,2068-10-03,Taplejung,11.7,2.5,0
2012/1/17,2068-10-03,Dhankuta,19.6,5.5,0
2012/1/17,2068-10-03,Biratnagar,23.4,8.2,0
2012/1/17,2068-10-03,Jiri,13.5,-3.2,0.0*
2012/1/18,2068-10-04,Dadeldhura,9.8,1,0
2012/1/18,2068-10-04,Dipayal,21.7,6.8,0
2012/1/18,2068-10-04,Dhangadi,18.2,5.8,0
2012/1/18,2068-10-04,Birendranagar,21.5,,0
2012/1/18,2068-10-04,Nepalgunj,23.3,6.6,0
2012/1/18,2068-10-04,Jumla,10.8,-8.8,0
2012/1/18,2068-10-04,Dang,19.6,4.5,0
2012/1/18,2068-10-04,Pokhara,21.8,6.8,0
2012/1/18,2068-10-04,Bhairahawa,23.8,7,0
2012/1/18,2068-10-04,Simra,23.5,7,0
2012/1/18,2068-10-04,Kathmandu,17.2,0.8,0
2012/1/18,2068-10-04,Okhaldhunga,15.5,2.6,0
2012/1/18,2068-10-04,Taplejung,12.7,3,0
2012/1/18,2068-10-04,Dhankuta,18.9,4.8,0
2012/1/18,2068-10-04,Biratnagar,23.3,10.2,0
2012/1/18,2068-10-04,Jiri,13,-4,0.0*
2012/1/19,2068-10-05,Dadeldhura,6.2,0.5,2.4
2012/1/19,2068-10-05,Dipayal,17.3,6.6,2.7
2012/1/19,2068-10-05,Dhangadi,17.9,8.2,0.2
2012/1/19,2068-10-05,Birendranagar,17.7,,
2012/1/19,2068-10-05,Nepalgunj,18.7,8.4,
2012/1/19,2068-10-05,Pokhara,19.8,,0
2012/1/19,2068-10-05,Bhairahawa,22.2,10.2,0
2012/1/19,2068-10-05,Simra,22.5,8.4,0
2012/1/19,2068-10-05,Kathmandu,18,1,0
2012/1/19,2068-10-05,Taplejung,15,2.2,0
2012/1/19,2068-10-05,Dhankuta,18.7,,0
2012/1/19,2068-10-05,Biratnagar,20,10,0
2012/1/19,2068-10-05,Jiri,14.5,-5.6,0.0*
2012/1/20,2068-10-06,Dadeldhura,9.4,0.8,1.2
2012/1/20,2068-10-06,Dipayal,20.8,7.2,0
2012/1/20,2068-10-06,Dhangadi,20.8,7.8,0
2012/1/20,2068-10-06,Birendranagar,21.3,5.8,0.3
2012/1/20,2068-10-06,Nepalgunj,22.5,,0
2012/1/20,2068-10-06,Jumla,11.5,-5.8,12.5
2012/1/20,2068-10-06,Dang,20.5,9.5,0.8
2012/1/20,2068-10-06,Pokhara,20,5,0
2012/1/20,2068-10-06,Bhairahawa,21.6,11.5,0
2012/1/20,2068-10-06,Simra,23,9.8,0
2012/1/20,2068-10-06,Kathmandu,18.2,2.7,0
2012/1/20,2068-10-06,Taplejung,14.6,3,0
2012/1/20,2068-10-06,Dhankuta,20.7,6,0
2012/1/20,2068-10-06,Biratnagar,23.5,9.3,0
2012/1/20,2068-10-06,Jiri,11.6,-3,0.0*
2012/1/21,2068-10-07,Dadeldhura,14.5,0.8,0
2012/1/21,2068-10-07,Dipayal,22.2,5.4,0
2012/1/21,2068-10-07,Dhangadi,19.4,6.8,0
2012/1/21,2068-10-07,Birendranagar,20.3,3,0
2012/1/21,2068-10-07,Nepalgunj,19.2,6.8,0
2012/1/21,2068-10-07,Pokhara,19.4,6.8,0
